category,category_label,major_category,major_category_label,major_category_weight,indicator,indicator_label,direction,weight,evidence_type,value_status_ko,estimate_used,estimation_method_ko,estimation_reason,base_confidence,quality_note
income_support_need,소득·복지수요,socioeconomic_base,사회·경제,0.5,basic_livelihood_recipients_per_1000_population_2025_inferred,추정 기초생활수급자율,higher,1.0,inferred,추정값,TRUE,구·군 총계의 행정동 배분 추정,"공개된 2025 행정동별 관측 수급자 수가 없어 구·군 관측 총계를 행정동 특성 패턴으로 배분함",low,"구·군 관측 총계를 행정동 패턴으로 배분한 추정값"
local_employment_opportunity,지역 고용기회,socioeconomic_base,사회·경제,0.5,workplace_workers_per_1000_population_2024_smoothed,주민 대비 사업장 종사자 공급 대리,lower,0.7,derived_proxy,추정·보정값,TRUE,관측 건수의 소지역 수축 보정,"인구가 작은 동에서 종사자 몇 명의 차이가 공급률을 과도하게 변화시키는 것을 줄이기 위해 부산 전체 비율을 사전값으로 사용함",low,"주민 고용상태가 아닌 동 소재 일자리 기회 대리"
local_employment_opportunity,지역 고용기회,socioeconomic_base,사회·경제,0.5,establishments_per_1000_population_2024_smoothed,주민 대비 사업체 공급 대리,lower,0.3,derived_proxy,추정·보정값,TRUE,관측 건수의 소지역 수축 보정,"인구가 작은 동에서 사업체 몇 개의 차이가 공급률을 과도하게 변화시키는 것을 줄이기 위해 부산 전체 비율을 사전값으로 사용함",low,"사업체 규모와 주민 통근을 직접 반영하지 않음"
education_access_supply,교육시설 접근·공급,living_services_settlement,생활 인프라·주거,0.25,nearest_core_school_distance_m_2025,행정동 중심점 최근접 학교 거리,higher,0.15,spatial_proxy,공간 계산 대리값,FALSE,시설 좌표 기반 거리 계산,"결측값 추정이 아니라 학교 좌표와 행정동 중심점으로 계산했으나 실제 거주지와 통학경로를 대신하는 공간 대리값임",medium_low,"실제 주거지·보행경로가 아닌 기하학적 중심점 직선거리"
education_access_supply,교육시설 접근·공급,living_services_settlement,생활 인프라·주거,0.25,school_count_2025,행정동 내 초·중·고 수,lower,0.25,observed_inventory,관측 시설목록,FALSE,해당 없음,"학교알리미 2025 공시가 확인된 학교 시설목록을 직접 집계했으므로 결측 대체 추정값을 사용하지 않음",medium,"학교 정원과 학령인구를 직접 반영하지 않은 시설 수"
education_access_supply,교육시설 접근·공급,living_services_settlement,생활 인프라·주거,0.25,core_schools_within_2000m_2025,중심점 2km 내 초·중·고 수,lower,0.25,spatial_proxy,공간 계산 대리값,FALSE,시설 좌표 기반 반경 집계,"결측값 추정이 아니라 학교 좌표를 2km 반경으로 집계했으나 실제 통학경로를 대신하는 공간 대리값임",medium_low,"경계 밖 학교는 포함하지만 실제 통학경로를 반영하지 않음"
education_access_supply,교육시설 접근·공급,living_services_settlement,생활 인프라·주거,0.25,core_school_teachers_within_2000m_2025,중심점 2km 내 활동 교원 수,lower,0.35,spatial_proxy,공시자료 공간 대리값,FALSE,학교알리미 교원 공시와 시설 좌표의 반경 결합,"2025 학교별 활동 교원 수를 직접 관측했지만 행정동 중심점 2km 반경의 교육 공급으로 재구성한 공간 대리값임",medium,"학생의 실제 통학권·교원 배치 과목·학령인구 수요를 반영하지 않음"
healthcare_supply,의료공급 접근,living_services_settlement,생활 인프라·주거,0.25,hospital_per_10000_smoothed,소지역 보정 병원 공급량,lower,0.2,reconstructed_proxy,재구성·보정값,TRUE,운영시설 재구성 및 소지역 수축 보정,"완전한 행정동별 병원 공급률 관측표가 없어 시설목록의 2025 운영 여부를 재구성·공간집계하고 작은 인구 분모를 보정함",medium_low,"동 경계 내 시설 수이며 병상·진료과·경계 밖 접근을 반영하지 않음"
healthcare_supply,의료공급 접근,living_services_settlement,생활 인프라·주거,0.25,clinic_per_10000_smoothed,소지역 보정 의원 공급량,lower,0.5,reconstructed_proxy,재구성·보정값,TRUE,운영시설 재구성 및 소지역 수축 보정,"완전한 행정동별 의원 공급률 관측표가 없어 시설목록의 2025 운영 여부를 재구성·공간집계하고 작은 인구 분모를 보정함",medium_low,"동 경계 내 시설 수이며 수용력·운영시간을 반영하지 않음"
healthcare_supply,의료공급 접근,living_services_settlement,생활 인프라·주거,0.25,pharmacy_per_10000_smoothed,소지역 보정 약국 공급량,lower,0.3,reconstructed_proxy,재구성·보정값,TRUE,운영시설 재구성 및 소지역 수축 보정,"완전한 행정동별 약국 공급률 관측표가 없어 시설목록의 2025 운영 여부를 재구성·공간집계하고 작은 인구 분모를 보정함",medium_low,"동 경계 내 약국 수이며 운영시간·조제역량·경계 밖 접근을 반영하지 않음"
