domain,indicator,decision,cod16_action,rationale
income,basic_livelihood_recipients_per_1000_population_2025_inferred,conditional_include,normalize with robust percentile and run observed-versus-inferred sensitivity,"All 206 values are inferred from observed district totals, so the base model must disclose uncertainty"
employment,workplace_workers_2024,conditional_include,apply log1p and population sensitivity; compare with establishments_2024,"Workplace opportunity is a one-year-lag proxy rather than resident unemployment"
employment,establishments_2024,sensitivity_only,do not combine with workplace_workers_2024 in the same base score,"Correlation with workplace_workers_2024 is 0.879209"
education,nearest_core_school_distance_m_2025,conditional_include,normalize as higher distance equals higher deprivation,"Directly represents access and retains complete dong coverage"
education,core_schools_within_2000m_2025,sensitivity_only,use as an alternative to nearest distance,"Service count and distance represent overlapping access concepts"
health,hospital_count_2025_candidate_per_10000_population,conditional_include,reverse direction and test zero-heavy distribution,"Historical completeness is reconstructed and 61 dongs have zero mapped hospitals"
health,clinic_count_2025_candidate_per_10000_population,conditional_include,reverse direction and use robust normalization,"Broader coverage than hospitals but reconstructed from a current licence register"
health,pharmacy_count_2025_candidate_per_10000_population,sensitivity_only,do not combine with clinic rate in the same base score,"Correlation with clinic rate is 0.908014"
safety,crime_prevention_cctv_count_2025_per_10000_population,sensitivity_only,test both directions and exclude from the base model,"CCTV is prevention infrastructure rather than observed crime incidence"
housing,old_house_share_30plus_2024_lower_bound_pct,conditional_include,normalize as higher share equals higher deprivation,"Complete coverage but one-year lag and suppressed-cell lower-bound limitations apply"
housing_service,bus_stop_count_2025_per_10000_population,conditional_include,reverse direction and test unmatched-stop sensitivity,"582 source points do not fall within canonical polygons"
living_environment,heat_shelter_count_2025_per_10000_population,conditional_include,reverse direction and use as response-access proxy,"Measures heat-response access rather than heat exposure"
living_environment,annual_pm25_ug_m3_idw_2025,conditional_include,normalize as higher pollution equals higher deprivation and disclose IDW uncertainty,"Moran's I 0.723116 partly reflects the interpolation method"
living_environment,annual_no2_ppm_idw_2025,sensitivity_only,compare as an alternative pollution indicator,"Moran's I 0.722300 and shared station interpolation can overweight one exposure surface"
living_environment,air_idw_station_count,exclude,remove before normalization,"The value is constant at four stations for every dong"
